DPTO_NORM,CARRERAS_TOTAL,CARRERAS_PRES,CARRERAS_MED,CARRERAS_VIRT,POB_TOTAL,POB_15_29_EST,IDX_TOTAL_x10K,IDX_PRES_x10K,IDX_MED_x10K,IDX_VIRT_x10K,BRECHA_PRES,AREAS_UNICAS,INDICE_DIVERSIDAD,AREAS_EJE_REQUERIDAS,AREAS_EJE_CUBIERTAS,AREAS_EJE_FALTANTES,SCORE_PERTINENCIA,CLUSTER,PRIORIDAD,RANK_SUBOFERTA,POB_PROY_2032,COBERTURA_N,PERTINENCIA_N,CRECIMIENTO_N,IPTE,RANK_IPTE
PRESIDENTE HAYES,113,103,7.0,1.0,123313.0,31454.13395777314,35.9253254760412,32.7460931330287,2.2254626401087467,0.3179232343012496,-38.060898188179685,52,0.46,"AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA",,"AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA",0.0,2,ALTA (Suboferta),3,36067.0,0.9479487747385027,1.0,0.0654490649040295,0.6711326132141774,1
ALTO PARAGUAY,2,2,0.0,0.0,17195.0,4386.0244532523675,4.559938097282929,4.559938097282929,0.0,0.0,-66.24705322392546,2,1.0,"AMBIENTE, GANADERIA, LOGISTICA",,"AMBIENTE, GANADERIA, LOGISTICA",0.0,2,ALTA (Suboferta),1,5029.0,1.0,1.0,0.009122777012287685,0.6697075923374292,2
CENTRAL,2461,2288,83.0,15.0,1883927.0,480543.7563327928,51.212818137120365,47.61272974308468,1.7272100387570055,0.31214639254644677,-23.194261578123708,339,0.138,"ADMINISTRACION, INDUSTRIA, SALUD, TECNOLOGIA","ADMINISTRACION, SALUD, TECNOLOGIA",INDUSTRIA,0.75,0,MEDIA,4,551024.0,0.9204946345732522,0.06250000000000006,1.0,0.6609982115244174,3
ALTO PARANA,1352,1264,40.0,3.0,763702.0,194801.7241638697,69.40390316374615,64.88648934835439,2.0533699160871643,0.15400274370653733,-5.920501972853998,160,0.118,"COMERCIO, INDUSTRIA, LOGISTICA, TECNOLOGIA",TECNOLOGIA,"COMERCIO, INDUSTRIA, LOGISTICA",0.25,0,MEDIA,8,223373.0,0.8885952729474264,0.6875,0.4053799242102203,0.6604917323858822,4
BOQUERON,153,144,4.0,2.0,71078.0,18130.261476491523,84.38929587330352,79.42521964546215,2.2062561012628374,1.1031280506314187,8.618228324253764,56,0.366,"AGROINDUSTRIA, AMBIENTE, GANADERIA, LOGISTICA",,"AGROINDUSTRIA, AMBIENTE, GANADERIA, LOGISTICA",0.0,2,ALTA (Suboferta),11,20789.0,0.8617466756573317,1.0,0.03772317439852333,0.633156616685285,5
NEEMBUCU,191,170,15.0,4.0,76719.0,19569.14277575274,97.60264013028697,86.8714598018261,7.66512880604348,2.0440343482782612,16.06446848061772,52,0.272,"AGROINDUSTRIA, AMBIENTE, TURISMO",,"AGROINDUSTRIA, AMBIENTE, TURISMO",0.0,2,ALTA (Suboferta),14,22439.0,0.8479957428593474,1.0,0.040718605312974186,0.6295714493907739,6
MISIONES,382,341,25.0,6.0,111142.0,28349.609176119488,134.74612564386976,120.28384514282617,8.818463720148545,2.1164312928356512,49.47685382161778,101,0.264,"AGROINDUSTRIA, GANADERIA, VETERINARIA",,"AGROINDUSTRIA, GANADERIA, VETERINARIA",0.0,2,ALTA (Suboferta),17,32508.0,0.7862932653946935,1.0,0.059000800898412815,0.6150980220977021,7
SAN PEDRO,622,574,32.0,4.0,355175.0,90596.46613456875,68.6560995741383,63.357879671310904,3.532146601884928,0.441518325235616,-7.449111649897482,95,0.153,"AGROINDUSTRIA, AGRONOMIA, AMBIENTE, VETERINARIA",AGRONOMIA,"AGROINDUSTRIA, AMBIENTE, VETERINARIA",0.25,2,ALTA (Suboferta),7,103884.0,0.8914181484526448,0.6875,0.1885284893192506,0.5891488792572984,8
CAAGUAZU,1009,949,48.0,8.0,431519.0,110069.95557098041,91.66897495014703,86.21789616222947,4.360863030334051,0.7268105050556752,15.410904841021079,195,0.193,"AGROINDUSTRIA, AGRONOMIA, LOGISTICA, VETERINARIA",AGRONOMIA,"AGROINDUSTRIA, LOGISTICA, VETERINARIA",0.25,0,MEDIA,13,126214.0,0.8492026754184079,0.6875,0.2290577272298937,0.5885868008827672,9
CANINDEYU,161,146,7.0,3.0,191114.0,48748.51278620953,33.02664856794263,29.94963162061878,1.4359412420844622,0.6154033894647695,-40.857359700589605,54,0.335,"AGRONOMIA, AMBIENTE, LOGISTICA, VETERINARIA",AGRONOMIA,"AMBIENTE, LOGISTICA, VETERINARIA",0.25,2,ALTA (Suboferta),2,55898.0,0.9531129856049,0.6875,0.10143959273961699,0.5806841927815056,10
GUAIRA,449,410,20.0,5.0,179555.0,45800.0942543605,98.03473274670216,89.51946642794628,4.366803240387624,1.091700810096906,18.712475106737898,91,0.203,"AGRONOMIA, AMBIENTE, INDUSTRIA, TURISMO",AGRONOMIA,"AMBIENTE, INDUSTRIA, TURISMO",0.25,2,ALTA (Suboferta),15,52517.0,0.8431056828559407,0.6875,0.09530196543240274,0.5419692160961145,11
AMAMBAY,262,252,5.0,2.0,179412.0,45763.61844762511,57.25071768523942,55.065575788856236,1.0925709481915922,0.43702837927663685,-15.74141553235215,80,0.305,"AGRONOMIA, COMERCIO, LOGISTICA",AGRONOMIA,"COMERCIO, LOGISTICA",0.333,2,ALTA (Suboferta),5,52476.0,0.9067315027138076,0.58375,0.09523777448995975,0.5285730924012558,12
PARAGUARI,449,419,21.0,5.0,200472.0,51135.5099850194,87.80591024349586,81.93914563925337,4.10673522296974,0.977794100707081,11.132154318044982,100,0.223,"ADMINISTRACION, AGROINDUSTRIA, TURISMO",ADMINISTRACION,"AGROINDUSTRIA, TURISMO",0.333,2,ALTA (Suboferta),12,58635.0,0.8571042216572167,0.58375,0.10640556310207444,0.5157532615864303,13
CONCEPCION,384,356,15.0,2.0,206181.0,52591.73642314779,73.01527314298484,67.69124280964219,2.8521591071478447,0.380287880953046,-3.1157485115661956,93,0.242,"AGRONOMIA, AMBIENTE, FORESTAL, INGENIERIA, LOGISTICA","AGRONOMIA, INGENIERIA","AMBIENTE, FORESTAL, LOGISTICA",0.4,2,ALTA (Suboferta),9,60305.0,0.883415749382353,0.5,0.10943866217705785,0.49761813718647024,14
CAAZAPA,290,263,23.0,2.0,139479.0,35577.68564787362,81.51176635553091,73.92273983277458,6.464726297162796,0.5621501127967649,3.1157485115661956,75,0.259,"AGRONOMIA, AMBIENTE, EDUCACION, FORESTAL","AGRONOMIA, EDUCACION","AMBIENTE, FORESTAL",0.5,2,ALTA (Suboferta),10,40796.0,0.8719080763827523,0.37500000000000006,0.07403939147495224,0.4403158226192348,15
CORDILLERA,434,418,13.0,1.0,268037.0,68369.69097856381,63.47842059664618,61.138202325802084,1.9014273450608303,0.14626364192775618,-9.668788995406302,88,0.203,"ADMINISTRACION, TECNOLOGIA, TURISMO","ADMINISTRACION, TECNOLOGIA",TURISMO,0.667,2,ALTA (Suboferta),6,78397.0,0.8955172150111164,0.16625,0.14227120253418846,0.40134613918176826,16
ITAPUA,1314,1184,64.0,10.0,449642.0,114692.69015465547,114.56702238199821,103.23238546444892,5.580128944024267,0.8718951475037916,32.42539414324054,194,0.148,"AGRONOMIA, COMERCIO, SALUD, TECNOLOGIA","AGRONOMIA, SALUD, TECNOLOGIA",COMERCIO,0.75,0,MEDIA,16,131514.0,0.8177821069068103,0.06250000000000006,0.23866702170853998,0.37298304287178347,17
ASUNCION,2942,2662,84.0,32.0,,,603.505590601784,546.0679409184055,17.231294905013545,6.564302820957542,475.2609495971971,561,0.191,"ADMINISTRACION, DERECHO, EDUCACION, SALUD, TECNOLOGIA","ADMINISTRACION, EDUCACION, SALUD, TECNOLOGIA",DERECHO,0.8,1,BAJA (Alta cobertura),18,,0.0,0.0,0.0,0.0,18
